"Travel motives";"Population";"Trip characteristics";"Margins";"Periods";"Region characteristics";"Average per person per day/Trips (number)";"Average per person per day/Distance travelled                       (passenger kilometres )";"Average per person per day/Time travelled                           (minutes)"
"Total";"Population 6 years or older";"Total";"Value";"2019";"The Netherlands";2,71;36;74,39
"Total";"Population 6 years or older";"Sunday";"Value";"2019";"The Netherlands";1,94;35,55;71,1
"Total";"Population 6 years or older";"Monday";"Value";"2019";"The Netherlands";2,75;34,1;70,41
"Total";"Population 6 years or older";"Tuesday";"Value";"2019";"The Netherlands";2,8;36,7;75,11
"Total";"Population 6 years or older";"Wednesday";"Value";"2019";"The Netherlands";2,89;35,37;74,78
"Total";"Population 6 years or older";"Thursday";"Value";"2019";"The Netherlands";2,91;37,72;76,46
"Total";"Population 6 years or older";"Friday";"Value";"2019";"The Netherlands";2,98;37,14;77,64
"Total";"Population 6 years or older";"Saturday";"Value";"2019";"The Netherlands";2,7;35,4;75,24
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Total";"Value";"2019";"The Netherlands";0,5;9,72;15,1
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Sunday";"Value";"2019";"The Netherlands";0,1;1,55;2,63
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Monday";"Value";"2019";"The Netherlands";0,66;13,04;20,06
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Tuesday";"Value";"2019";"The Netherlands";0,7;14,71;21,92
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Wednesday";"Value";"2019";"The Netherlands";0,65;12,29;19,37
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Thursday";"Value";"2019";"The Netherlands";0,66;13,47;20,26
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Friday";"Value";"2019";"The Netherlands";0,57;10,29;16,84
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Saturday";"Value";"2019";"The Netherlands";0,19;2,6;4,51
