"Travel motives";"Population";"Trip characteristics";"Margins";"Periods";"Region characteristics";"Average per person per day/Trips (number)";"Average per person per day/Distance travelled                       (passenger kilometres )";"Average per person per day/Time travelled                           (minutes)"
"Total";"Population 6 years or older";"Total";"Value";"2020";"The Netherlands";2,35;24,88;61,96
"Total";"Population 6 years or older";"Sunday";"Value";"2020";"The Netherlands";1,64;22,47;58,86
"Total";"Population 6 years or older";"Monday";"Value";"2020";"The Netherlands";2,32;22,64;58,13
"Total";"Population 6 years or older";"Tuesday";"Value";"2020";"The Netherlands";2,47;24,47;60,34
"Total";"Population 6 years or older";"Wednesday";"Value";"2020";"The Netherlands";2,47;26,5;64,08
"Total";"Population 6 years or older";"Thursday";"Value";"2020";"The Netherlands";2,49;25,33;61,21
"Total";"Population 6 years or older";"Friday";"Value";"2020";"The Netherlands";2,63;27,7;65,46
"Total";"Population 6 years or older";"Saturday";"Value";"2020";"The Netherlands";2,45;25;65,62
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Total";"Value";"2020";"The Netherlands";0,37;6,16;9,66
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Sunday";"Value";"2020";"The Netherlands";0,09;1,15;2,18
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Monday";"Value";"2020";"The Netherlands";0,47;7,68;12,35
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Tuesday";"Value";"2020";"The Netherlands";0,49;8,95;13,18
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Wednesday";"Value";"2020";"The Netherlands";0,45;8,24;12,58
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Thursday";"Value";"2020";"The Netherlands";0,48;8,08;12,76
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Friday";"Value";"2020";"The Netherlands";0,44;7,15;11,1
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Saturday";"Value";"2020";"The Netherlands";0,17;1,78;3,34
