"Travel motives";"Population";"Trip characteristics";"Margins";"Periods";"Region characteristics";"Average per person per day/Trips (number)";"Average per person per day/Distance travelled                       (passenger kilometres )";"Average per person per day/Time travelled                           (minutes)"
"Total";"Population 6 years or older";"Total";"Value";"2018";"The Netherlands";2,78;36,16;74,6
"Total";"Population 6 years or older";"Sunday";"Value";"2018";"The Netherlands";2,06;34,07;70,16
"Total";"Population 6 years or older";"Monday";"Value";"2018";"The Netherlands";2,76;33,97;69,95
"Total";"Population 6 years or older";"Tuesday";"Value";"2018";"The Netherlands";2,92;36,99;75,34
"Total";"Population 6 years or older";"Wednesday";"Value";"2018";"The Netherlands";2,91;35,29;74,38
"Total";"Population 6 years or older";"Thursday";"Value";"2018";"The Netherlands";2,93;36,2;76,13
"Total";"Population 6 years or older";"Friday";"Value";"2018";"The Netherlands";3,07;38,77;79,35
"Total";"Population 6 years or older";"Saturday";"Value";"2018";"The Netherlands";2,82;37,89;76,97
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Total";"Value";"2018";"The Netherlands";0,55;10,55;16,24
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Sunday";"Value";"2018";"The Netherlands";0,12;1,51;2,65
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Monday";"Value";"2018";"The Netherlands";0,72;14,59;21,92
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Tuesday";"Value";"2018";"The Netherlands";0,76;15,37;23,47
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Wednesday";"Value";"2018";"The Netherlands";0,69;13,65;20,88
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Thursday";"Value";"2018";"The Netherlands";0,71;13,82;21,55
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Friday";"Value";"2018";"The Netherlands";0,63;12,27;18,47
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Saturday";"Value";"2018";"The Netherlands";0,21;2,58;4,67
