NLSitNummer;DatumFileBegin;DatumFileEind;TijdFileBegin;TijdFileEind;FileZwaarte;GemLengte;FileDuur;HectometerKop;HectometerStaart;RouteLet;RouteNum;RouteOms;hectometreringsrichting;KopWegvakVan;KopWegvakNaar;TrajVan;TrajNaar;OorzaakGronddetail;OorzaakVerloop;OorzaakCodeVerloop;OorzaakCode;Oorzaak_1;Oorzaak_2;Oorzaak_3;Oorzaak_4
2295720;2018-02-22;2018-02-22;16:46:00;16:51:51;11,700;2000,000;5,850;61,8;63,8;A;12;A12;aflopend;Nieuwegein;Oudenrijn;Arnhem;Den Haag;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 6];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2297250;2018-02-27;2018-02-27;8:23:00;8:41:46;39,517;2105,684;18,767;21,0;19,0;N;325;N325;oplopend;Kronenburg;A325: Kronenburg;Nijmegen;Arnhem;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 19];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2297629;2018-02-28;2018-02-28;6:39:00;7:35:47;305,833;5385,970;56,783;55,5;53,5;A;12;A12;oplopend;De Meern;Oudenrijn;Den Haag;Utrecht;Ongeval (met opruim/berging);[Geen oorzaakcode opgegeven door VWM 1], [Ongeval(len) 16], [Opruimingswerkzaamheden 6], [Eerder(e) ongeval(len) 34];[000], [ACI], [OCL], [ACA];ACI;Ongeval(len);Ongeval;Ongeval;Ongeval
2297105;2018-02-26;2018-02-26;17:17:00;18:02:46;272,617;5956,664;45,767;158,7;156,7;N;2;N2;oplopend;Eindhoven-Centrum;Meerhoven-Zuid;Batadorp;Leenderheide;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 46];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2297923;2018-02-28;2018-02-28;17:04:00;18:11:46;223,483;3297,836;67,767;169,1;167,1;N;2;N2;oplopend;Waalre;Leenderheide;Batadorp;Leenderheide;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 68];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2297032;2018-02-26;2018-02-26;16:18:00;16:22:45;9,500;2000,000;4,750;87,4;85,4;A;2;A2;oplopend;Lingebrug;Geldermalsen;Utrecht;'s-Hertogenbosch;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 5];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2297922;2018-02-28;2018-02-28;17:03:00;17:06:47;11,350;3000,000;3,783;40,8;37,8;A;16;A16;oplopend;Moerdijkbrug;Klaverpolder;Rotterdam;Breda;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 4];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2297571;2018-02-27;2018-02-27;18:01:00;18:19:46;48,500;2584,369;18,767;136,9;134,9;A;12;A12;oplopend;Westervoort;Duiven;Arnhem;Oberhausen;Ongeval(len);[Geen oorzaakcode opgegeven door VWM 1], [Ongeval(len) 9], [Eerder(e) ongeval(len) 9];[000], [ACI], [ACA];ACI;Ongeval(len);Ongeval;Ongeval;Ongeval
2297484;2018-02-27;2018-02-27;17:20:00;17:20:52;2,600;3000,000;0,867;47,9;44,9;A;12;A12;oplopend;Harmelen;Harmelen;Den Haag;Utrecht;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 1];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2297717;2018-02-28;2018-02-28;7:55:00;7:58:48;7,600;2000,000;3,800;29,9;31,9;A;67;A67;aflopend;Someren;Geldrop;Venlo;Eindhoven;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 4];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
