NLSitNummer;DatumFileBegin;DatumFileEind;TijdFileBegin;TijdFileEind;FileZwaarte;GemLengte;FileDuur;HectometerKop;HectometerStaart;RouteLet;RouteNum;RouteOms;hectometreringsrichting;KopWegvakVan;KopWegvakNaar;TrajVan;TrajNaar;OorzaakGronddetail;OorzaakVerloop;OorzaakCodeVerloop;OorzaakCode;Oorzaak_1;Oorzaak_2;Oorzaak_3;Oorzaak_4
2502940;2019-02-25;2019-02-25;15:12:00;15:31:29;55,433;2845,167;19,483;11,4;8,4;A;76;A76;oplopend;Schinnen;Nuth;Geleen;Aken;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 19];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2495126;2019-02-11;2019-02-11;6:20:00;6:31:50;23,667;2000,000;11,833;196,1;198,1;A;50;A50;aflopend;Loenen;Hoenderloo;Apeldoorn;Arnhem;Defecte vrachtwagen(s);[Geen oorzaakcode opgegeven door VWM 3], [Defecte vrachtwagen(s) 9];[000], [HBD];HBD;Defecte vrachtwagen(s);Defecte vrachtwagen;Incident (gestrand voertuig);Incident
2497992;2019-02-14;2019-02-14;17:20:00;17:20:35;1,167;2000,000;0,583;49,0;47,0;A;58;A58;oplopend;Tilburg-Reeshof;Bavel;Tilburg;Breda;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 1];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2497799;2019-02-14;2019-02-14;16:38:00;16:43:35;16,200;2901,493;5,583;63,9;65,9;A;12;A12;aflopend;Houten-Oost;Lunetten;Arnhem;Den Haag;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 6];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2495395;2019-02-11;2019-02-11;8:35:00;9:13:29;136,833;3555,652;38,483;139,5;137,5;A;12;A12;oplopend;Duiven;Zevenaar;Arnhem;Oberhausen;Ongeval(len);[Geen oorzaakcode opgegeven door VWM 1], [Ongeval(len) 21], [Eerder(e) ongeval(len) 16];[000], [ACI], [ACA];ACI;Ongeval(len);Ongeval;Ongeval;Ongeval
2497819;2019-02-14;2019-02-14;16:46:00;16:47:34;3,133;2000,000;1,567;167,3;169,3;A;50;A50;aflopend;Grijsoord;Renkum;Arnhem;Oss;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 2];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2497958;2019-02-14;2019-02-14;17:16:00;17:19:36;7,200;2000,000;3,600;82,6;84,6;A;27;A27;aflopend;Utrecht-Noord;De Bilt;Almere;Breda;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 4];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2497531;2019-02-14;2019-02-14;8:55:00;10:10:25;429,233;5691,492;75,417;131,0;133,0;A;12;A12;aflopend;Arnhem-Noord;Waterberg;Oberhausen;Den Haag;Ongeval (met opruim/berging);[Geen oorzaakcode opgegeven door VWM 4], [Ongeval(len) 42], [Opruimwerkzaamheden 15], [Eerder(e) ongeval(len) 15];[000], [ACI], [CLE], [ACA];ACI;Ongeval(len);Ongeval;Ongeval;Ongeval
2498114;2019-02-14;2019-02-14;17:41:00;17:53:37;25,233;2000,000;12,617;83,0;81,0;A;12;A12;oplopend;Maarsbergen;Veenendaal-West;Utrecht;Arnhem;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 13];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2497767;2019-02-14;2019-02-14;16:28:00;16:38:33;24,100;2284,360;10,550;57,5;59,5;A;12;A12;aflopend;Nieuwegein;Oudenrijn;Utrecht;Den Haag;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 11];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
